"DIM1","Näitaja","TIME","Vaatlusperiood","Value","Flag Codes","Flags"
"1","Dolomiidi kaevandamine, tuhat m³","2000","2000",212.8,,
"1","Dolomiidi kaevandamine, tuhat m³","2001","2001",233.4,,
"1","Dolomiidi kaevandamine, tuhat m³","2002","2002",338.9,,
"1","Dolomiidi kaevandamine, tuhat m³","2003","2003",445.2,,
"1","Dolomiidi kaevandamine, tuhat m³","2004","2004",496.6,,
"1","Dolomiidi kaevandamine, tuhat m³","2005","2005",417.5,,
"1","Dolomiidi kaevandamine, tuhat m³","2006","2006",508.5,,
"1","Dolomiidi kaevandamine, tuhat m³","2007","2007",569.2,,
"1","Dolomiidi kaevandamine, tuhat m³","2008","2008",526.6,,
"1","Dolomiidi kaevandamine, tuhat m³","2009","2009",480.5,,
"1","Dolomiidi kaevandamine, tuhat m³","2010","2010",571.3,,
"1","Dolomiidi kaevandamine, tuhat m³","2011","2011",595.4,,
"1","Dolomiidi kaevandamine, tuhat m³","2012","2012",671.9,,
"1","Dolomiidi kaevandamine, tuhat m³","2013","2013",668.5,,
"1","Dolomiidi kaevandamine, tuhat m³","2014","2014",569.4,,
"1","Dolomiidi kaevandamine, tuhat m³","2015","2015",686.1,,
"1","Dolomiidi kaevandamine, tuhat m³","2016","2016",631.8,,
"1","Dolomiidi kaevandamine, tuhat m³","2017","2017",885.4,,
"2","Järvemuda kaevandamine, tuhat tonni","2000","2000",0.5,,
"2","Järvemuda kaevandamine, tuhat tonni","2001","2001",0,,
"2","Järvemuda kaevandamine, tuhat tonni","2002","2002",0.5,,
"2","Järvemuda kaevandamine, tuhat tonni","2003","2003",0,,
"2","Järvemuda kaevandamine, tuhat tonni","2004","2004",0.7,,
"2","Järvemuda kaevandamine, tuhat tonni","2005","2005",0,,
"2","Järvemuda kaevandamine, tuhat tonni","2006","2006",0.7,,
"2","Järvemuda kaevandamine, tuhat tonni","2007","2007",0,,
"2","Järvemuda kaevandamine, tuhat tonni","2008","2008",0,,
"2","Järvemuda kaevandamine, tuhat tonni","2009","2009",0.1,,
"2","Järvemuda kaevandamine, tuhat tonni","2010","2010",0.5,,
"2","Järvemuda kaevandamine, tuhat tonni","2011","2011",0,,
"2","Järvemuda kaevandamine, tuhat tonni","2012","2012",0,,
"2","Järvemuda kaevandamine, tuhat tonni","2013","2013",0.5,,
"2","Järvemuda kaevandamine, tuhat tonni","2014","2014",0,,
"2","Järvemuda kaevandamine, tuhat tonni","2015","2015",0.5,,
"2","Järvemuda kaevandamine, tuhat tonni","2016","2016",0,,
"2","Järvemuda kaevandamine, tuhat tonni","2017","2017",0.6,,
"3","Liiva kaevandamine, tuhat m³","2000","2000",862.1,,
"3","Liiva kaevandamine, tuhat m³","2001","2001",898.8,,
"3","Liiva kaevandamine, tuhat m³","2002","2002",1403,,
"3","Liiva kaevandamine, tuhat m³","2003","2003",3756.5,,
"3","Liiva kaevandamine, tuhat m³","2004","2004",2306.7,,
"3","Liiva kaevandamine, tuhat m³","2005","2005",2123.9,,
"3","Liiva kaevandamine, tuhat m³","2006","2006",3000.5,,
"3","Liiva kaevandamine, tuhat m³","2007","2007",3440.1,,
"3","Liiva kaevandamine, tuhat m³","2008","2008",3186.7,,
"3","Liiva kaevandamine, tuhat m³","2009","2009",3200.5,,
"3","Liiva kaevandamine, tuhat m³","2010","2010",2939,,
"3","Liiva kaevandamine, tuhat m³","2011","2011",3397.9,,
"3","Liiva kaevandamine, tuhat m³","2012","2012",3680,,
"3","Liiva kaevandamine, tuhat m³","2013","2013",4366,,
"3","Liiva kaevandamine, tuhat m³","2014","2014",3508.5,,
"3","Liiva kaevandamine, tuhat m³","2015","2015",3468.9,,
"3","Liiva kaevandamine, tuhat m³","2016","2016",4098.5,,
"3","Liiva kaevandamine, tuhat m³","2017","2017",4766,,
"4","Lubjakivi kaevandamine, tuhat m³","2000","2000",1388.9,,
"4","Lubjakivi kaevandamine, tuhat m³","2001","2001",1073.1,,
"4","Lubjakivi kaevandamine, tuhat m³","2002","2002",1510.3,,
"4","Lubjakivi kaevandamine, tuhat m³","2003","2003",1689.7,,
"4","Lubjakivi kaevandamine, tuhat m³","2004","2004",2071.4,,
"4","Lubjakivi kaevandamine, tuhat m³","2005","2005",2343,,
"4","Lubjakivi kaevandamine, tuhat m³","2006","2006",2771.7,,
"4","Lubjakivi kaevandamine, tuhat m³","2007","2007",3356.1,,
"4","Lubjakivi kaevandamine, tuhat m³","2008","2008",3206.8,,
"4","Lubjakivi kaevandamine, tuhat m³","2009","2009",2094.4,,
"4","Lubjakivi kaevandamine, tuhat m³","2010","2010",1542.4,,
"4","Lubjakivi kaevandamine, tuhat m³","2011","2011",2052.8,,
"4","Lubjakivi kaevandamine, tuhat m³","2012","2012",2052,,
"4","Lubjakivi kaevandamine, tuhat m³","2013","2013",2271.9,,
"4","Lubjakivi kaevandamine, tuhat m³","2014","2014",1942.8,,
"4","Lubjakivi kaevandamine, tuhat m³","2015","2015",1853.5,,
"4","Lubjakivi kaevandamine, tuhat m³","2016","2016",2020.3,,
"4","Lubjakivi kaevandamine, tuhat m³","2017","2017",2392.1,,
"5","Kruusa (kruusliiva) kaevandamine, tuhat m³","2000","2000",424.3,,
"5","Kruusa (kruusliiva) kaevandamine, tuhat m³","2001","2001",457.3,,
"5","Kruusa (kruusliiva) kaevandamine, tuhat m³","2002","2002",652,,
"5","Kruusa (kruusliiva) kaevandamine, tuhat m³","2003","2003",753.2,,
"5","Kruusa (kruusliiva) kaevandamine, tuhat m³","2004","2004",874.1,,
"5","Kruusa (kruusliiva) kaevandamine, tuhat m³","2005","2005",1157.1,,
"5","Kruusa (kruusliiva) kaevandamine, tuhat m³","2006","2006",1265,,
"5","Kruusa (kruusliiva) kaevandamine, tuhat m³","2007","2007",1835.8,,
"5","Kruusa (kruusliiva) kaevandamine, tuhat m³","2008","2008",1952.4,,
"5","Kruusa (kruusliiva) kaevandamine, tuhat m³","2009","2009",1907,,
"5","Kruusa (kruusliiva) kaevandamine, tuhat m³","2010","2010",1434.3,,
"5","Kruusa (kruusliiva) kaevandamine, tuhat m³","2011","2011",1434.6,,
"5","Kruusa (kruusliiva) kaevandamine, tuhat m³","2012","2012",1552.2,,
"5","Kruusa (kruusliiva) kaevandamine, tuhat m³","2013","2013",1580.6,,
"5","Kruusa (kruusliiva) kaevandamine, tuhat m³","2014","2014",1730.2,,
"5","Kruusa (kruusliiva) kaevandamine, tuhat m³","2015","2015",1360.1,,
"5","Kruusa (kruusliiva) kaevandamine, tuhat m³","2016","2016",1384.2,,
"5","Kruusa (kruusliiva) kaevandamine, tuhat m³","2017","2017",1551.2,,
"6","Meremuda kaevandamine, tuhat tonni","2000","2000",0.8,,
"6","Meremuda kaevandamine, tuhat tonni","2001","2001",1.1,,
"6","Meremuda kaevandamine, tuhat tonni","2002","2002",1.2,,
"6","Meremuda kaevandamine, tuhat tonni","2003","2003",1.4,,
"6","Meremuda kaevandamine, tuhat tonni","2004","2004",1.3,,
"6","Meremuda kaevandamine, tuhat tonni","2005","2005",0.7,,
"6","Meremuda kaevandamine, tuhat tonni","2006","2006",0.8,,
"6","Meremuda kaevandamine, tuhat tonni","2007","2007",0.4,,
"6","Meremuda kaevandamine, tuhat tonni","2008","2008",0.3,,
"6","Meremuda kaevandamine, tuhat tonni","2009","2009",0.1,,
"6","Meremuda kaevandamine, tuhat tonni","2010","2010",0.5,,
"6","Meremuda kaevandamine, tuhat tonni","2011","2011",0.3,,
"6","Meremuda kaevandamine, tuhat tonni","2012","2012",0.2,,
"6","Meremuda kaevandamine, tuhat tonni","2013","2013",0.2,,
"6","Meremuda kaevandamine, tuhat tonni","2014","2014",0.1,,
"6","Meremuda kaevandamine, tuhat tonni","2015","2015",0.2,,
"6","Meremuda kaevandamine, tuhat tonni","2016","2016",0.202,,
"6","Meremuda kaevandamine, tuhat tonni","2017","2017",0.2,,
"7","Põlevkivi kaevandamine, tuhat tonni","2000","2000",9970,,
"7","Põlevkivi kaevandamine, tuhat tonni","2001","2001",9894,,
